Name,URL,Categories,Tags,Modality,Status,Description
,https://huggingface.co/spaces/EdBianchi/Social_Toximeter,,,,Broken / Not Worth,
Spanish Audio Transcription Based Harassment Detection,https://huggingface.co/spaces/CVMX-jaca-tonos/Spanish-Audio-Transcription-based-Harassment-Detection,Socially Conscious,Hate Detection,"Audio, Language",,
LOREN,https://huggingface.co/spaces/Jiangjie/loren-fact-checking,Socially Conscious,Fact Checking,Language,,
,https://huggingface.co/spaces/Joshua1808/Sexism,,,,Broken / Not Worth,
Fact Checking 🎸 Rocks!,https://huggingface.co/spaces/anakin87/fact-checking-rocks,Socially Conscious,Fact Checking,Language,,
DataMeasurementsTool,https://huggingface.co/spaces/huggingface/data-measurements-tool,Rigorous,Data Exploration,,,
Chat Noir,https://huggingface.co/spaces/webis/chat-noir,Rigorous,Data Exploration,Language,,
Predicting masked words in legal text,https://huggingface.co/spaces/muhtasham/legalBERT,Socially Conscious,Legal,Language,,
PAIR: Measuring Fairness,https://huggingface.co/spaces/merve/measuring-fairness,"Inclusive, Rigorous","Educational, Fairness & Bias",,,
PAIR: Are Model Predictions Probabilities?,https://huggingface.co/spaces/merve/uncertainty-calibration,Rigorous,Educational,,,
PAIR: Can a Model Be Differentially Private and Fair?,https://huggingface.co/spaces/merve/private-and-fair,"Consentful, Rigorous","Educational, Fairness & Bias, Privacy",,,
PAIR: Measuring Diversity,https://huggingface.co/spaces/merve/measuring-diversity,"Inclusive, Rigorous","Data Exploration, Diversity, Educational",,,
PAIR: What Have Language Models Learned?,https://huggingface.co/spaces/merve/fill-in-the-blank,Rigorous,"Educational, Explainability",Language,,
PAIR: How randomized response can help collect sensitive information responsibly,https://huggingface.co/spaces/merve/anonymization,Consentful,"Data Exploration, Educational, Privacy",,,
PAIR: Hidden Bias,https://huggingface.co/spaces/merve/hidden-bias,"Inclusive, Rigorous","Data Exploration, Educational, Fairness & Bias",,,
PAIR: Why Some Models Leak Data,https://huggingface.co/spaces/merve/data-leak,"Consentful, Rigorous","Educational, Privacy, Security",,,
PAIR: Datasets Have Worldviews,https://huggingface.co/spaces/merve/dataset-worldviews,"Inquisitive, Rigorous","Data Exploration, Educational, Fairness & Bias",,,
Causing Gender Pronouns,https://huggingface.co/spaces/emilylearning/causing_gender_pronouns,Rigorous,"Correlations, Data Exploration",Language,,
Causing Gender Pronouns 2,https://huggingface.co/spaces/emilylearning/causing_gender_pronouns_two,Rigorous,"Correlations, Data Exploration",Language,,
Generate Class Saliency Plots,https://huggingface.co/spaces/probing-vits/class-saliency,Rigorous,"Explainability, Saliency",Image,,
Image foreground masking or background removal,https://huggingface.co/spaces/taskswithcode/salient-object-detection,Rigorous,"Explainability, Saliency",Image,,
Bigscience Corpus,https://huggingface.co/spaces/bigscience-data/bigscience-corpus,Rigorous,"Data Exploration, Transparency",Language,,
Interactive Error Analysis,https://huggingface.co/spaces/autoevaluate/error-analysis,Rigorous,Error Analysis,Language,Broken / Not Worth,
Interactive Datasets Explorer,https://huggingface.co/spaces/nazneen/datasets-explorer,Rigorous,Data Exploration,"Image, Language",,
Modeling Uncertainty in Explainability,https://huggingface.co/spaces/ucinlp/Modeling-Uncertainty-in-Explainability,Rigorous,Explainability,,Broken / Not Worth,
Visualization of the distributions of the filter values for the BigScience Corpus,https://huggingface.co/spaces/bigscience-data/filter_values_distributions,Rigorous,"Data Exploration, Transparency",Language,,
Visualizing What Convnets Learn,https://huggingface.co/spaces/keras-io/what-convnets-learn,Rigorous,Explainability,Image,,
Timeseries Anomaly Detection Using an Autoencoder,https://huggingface.co/spaces/keras-io/timeseries-anomaly-detection-autoencoders,Rigorous,Anomaly Detection,,,
Can you tell if a Neural Net contains a Backdoor Attack?,https://huggingface.co/spaces/CVPR/Dual-Key_Backdoor_Attacks,Rigorous,Security,"Image, Language",,
Language Model Gender Bias Scorecard,https://huggingface.co/spaces/sasha/WinoBiasCheck,Rigorous,"Data Exploration, Fairness & Bias, Gender",Language,,
