Name,URL,Categories,Tags,Modality,Status,Description
Am I in The Stack?,https://huggingface.co/spaces/lvwerra/in-the-stack-gr,Consentful,"Data Governance, Dataset Opt-Out",Language,,
Gaia Search,https://huggingface.co/spaces/ola13/gaia,Rigorous,Data Exploration,"Image, Language",,
compare anomaly detection algorithms,https://huggingface.co/spaces/scikit-learn/anomaly-detection,Rigorous,"Anomaly Detection, Educational",,,
ROOTS search tool,https://huggingface.co/spaces/bigscience-data/scisearch,Rigorous,Data Exploration,Language,,
ROOTS search tool,https://huggingface.co/spaces/bigscience-data/roots-search,Rigorous,Data Exploration,Language,,
Convert any model to Safetensors and open a PR,https://huggingface.co/spaces/safetensors/convert,Rigorous,Security,,,
Spurious Correlation Evaluation for Pre-trained LLMs,https://huggingface.co/spaces/emilylearning/spurious_correlation_evaluation,Rigorous,Correlations,Language,,
Are you certain?,https://huggingface.co/spaces/emilylearning/llm_uncertainty,Rigorous,"Gender, Uncertainty",Language,,
SantaCoder: Dataset Search,https://huggingface.co/spaces/bigcode/santacoder-search,"Consentful, Rigorous","Code Generation, License Compliance",Language,,
Santa Model Generator,https://huggingface.co/spaces/bigcode/santacoder-endpoint,Consentful,Code Generation,Language,,
"SantaCoder:
 Code Generation",https://huggingface.co/spaces/bigcode/santacoder-demo,Consentful,Code Generation,Language,,
PII Anonymization,https://huggingface.co/spaces/bigcode/pii-public-demo,"Consentful, Rigorous","Anonymization, Code Generation, Privacy, Security",Language,,
XLabel: eXplainable Labeling Assistant,https://huggingface.co/spaces/Donlapark/XLabel,Rigorous,"Data Labeling, Explainability",Language,,
Prompt specifier recognizer by https://www.selas.ai/,https://huggingface.co/spaces/teo-sanchez/prompt_specifier_recognizer,Rigorous,"Explainability, Prompting",Language,,
In The Stack,https://huggingface.co/spaces/lvwerra/in-the-stack,"Consentful, Rigorous","Data Governance, Dataset Opt-Out, Transparency",Language,,
SantaCoder 🎅 bash/shell 🐚 Completion,https://huggingface.co/spaces/mrm8488/santacoder-bash-completion,Consentful,"Code Generation, Downstream Artifact",Language,,
Santa Explains Code,https://huggingface.co/spaces/bigcode/santa-explains-code,Consentful,"Code Generation, Downstream Artifact",Language,,
Utilizing BioBERT for PICO Evidence Summarization,https://huggingface.co/spaces/owaiskha9654/PICO-Evidence-Based-Classification-Inference,Socially Conscious,Health,Language,,
Pile V2 EDA,https://huggingface.co/spaces/CarperAI/pile-v2-eda,Rigorous,Data Exploration,Language,,
Disaggregators,https://huggingface.co/spaces/society-ethics/disaggregators,"Inquisitive, Rigorous","Data Labeling, Disaggregation, Fairness & Bias",Language,,
NER for Drug Names and Adverse Effects,https://huggingface.co/spaces/jsylee/adverse-drug-reactions-ner,Socially Conscious,Health,Language,,
YOLOv5 - Plastic in river detection,https://huggingface.co/spaces/Kili/plastic_in_river,Socially Conscious,Climate,Image,,
Predicting masked words in legal text,https://huggingface.co/spaces/muhtasham/legalBERT,Socially Conscious,Legal,Language,,
Echocardiogram Segmentation,https://huggingface.co/spaces/abidlabs/Echocardiogram-Segmentation,Socially Conscious,Health,Image,,
DeepPrivacy: A Generative Adversarial Network for Face Anonymization,https://huggingface.co/spaces/haakohu/DeepPrivacy,Socially Conscious,"Anonymization, Privacy",Video,,
ASL Fingerspelling Recognition,https://huggingface.co/spaces/tallwhitestck/asl-fingerspelling-recognition,Socially Conscious,Sign Language,Image,,
Task Exploration - Automatic Content Moderation,https://huggingface.co/spaces/hf-task-exploration/ExploreACMnaacl,,,,Broken / Not Worth,
Socratic models for image captioning with BLOOM,https://huggingface.co/spaces/Geonmo/socratic-models-image-captioning-with-BLOOM,Socially Conscious,Image Captioning,Image,,
IntrotoAI Climate Change Project,https://huggingface.co/spaces/aiEDUcurriculum/introtoAI-climate-change-project,Socially Conscious,"Climate, Educational",Language,,
Ask2Democracy - Generador de historias basado en los testimonios del conflicto Colombiano,https://huggingface.co/spaces/jorge-henao/historias-conflicto-col,Socially Conscious,Political,Language,,
Endangered Fish Classification,https://huggingface.co/spaces/Cawinchan/Endangered-Fish-Classification,Socially Conscious,"Climate, Nature",Image,,
ETHIO HYDRO & CLIMATE HUB,https://huggingface.co/spaces/poooja2012/ethio_hydro,Socially Conscious,"Climate, Data Exploration",Tabular,,
Cycling rates in London,https://huggingface.co/spaces/liloho/london-cycling-rates,Socially Conscious,Data Exploration,Tabular,,
ClimateGAN: Visualize Climate Change,https://huggingface.co/spaces/NimaBoscarino/climategan,Socially Conscious,"Climate, Generative",Image,,
ClimateGAN: Visualize Climate Change,https://huggingface.co/spaces/vict0rsch/climateGAN,Socially Conscious,"Climate, Generative",Image,,
Out-of-context misinformation detection,https://huggingface.co/spaces/machinewise-io/OOC-misinformation-detection,Socially Conscious,Misinformation,"Image, Language",,
AI for sustainable agriculture and food systems:Use of Satellite Imagery,https://huggingface.co/spaces/Omdena-Milan/milan-chapter-agrifoods,Socially Conscious,"Agriculture, Climate",Image,,
Policy Test,https://huggingface.co/spaces/peter2000/policy_test,Socially Conscious,Legal,Language,,
Find my Butterfly 🦋,https://huggingface.co/spaces/SDbiaseval/find-my-butterfly,Socially Conscious,"Fun, Nature",Image,,
Which Sea Slug Am I ? 🐌,https://huggingface.co/spaces/sasha/find-my-sea-slug,Socially Conscious,"Fun, Nature",Image,,
Image Classification with EfficientFormer-L1,https://huggingface.co/spaces/adirik/efficientformer,Sustainable,Efficient,Image,,
Polymer Blocks,https://huggingface.co/spaces/GT4SD/polymer_blocks,"Rigorous, Socially Conscious","Model Card, Molecule Generation",Other,,
GeoDiff,https://huggingface.co/spaces/GT4SD/geodiff,"Rigorous, Socially Conscious","Model Card, Molecule Generation",Other,,
DivEMT Explorer,https://huggingface.co/spaces/GroNLP/divemt_explorer,"Rigorous, Socially Conscious","Data Exploration, Transparency",Language,,
,https://huggingface.co/spaces/lora-library/Low-rank-Adaptation,,,,Broken / Not Worth,
Write Stories Using Bloom,https://huggingface.co/spaces/EuroPython2022/Write-Stories-Using-Bloom,Socially Conscious,"Fun, Generative, Text Generation",Language,,
DALL·E mini by craiyon.com,https://huggingface.co/spaces/dalle-mini/dalle-mini,Rigorous,"Generative, Model Card","Image, Language",,
Modelcard Creator,https://huggingface.co/spaces/huggingface/Model_Cards_Writing_Tool,Rigorous,"Educational, Model Card",,,
Promptist Demo,https://huggingface.co/spaces/microsoft/Promptist,Inclusive,"Accessibility, Prompting, Tool",Language,,
Lexica Art - A Search Engine for Generative Art Prompts and Works,https://huggingface.co/spaces/Xhaheen/Lexica_prompt_search,Inclusive,"Accessibility, Generative, Prompting","Image, Language",,
Imaginary Network Expanded Dataset,https://huggingface.co/spaces/Sygil/INE-dataset-explorer,"Consentful, Rigorous",Data Exploration,"Image, Language",,
Dataset Explore,https://huggingface.co/spaces/bigbio/dataset-explore,Rigorous,"Data Exploration, Transparency",Language,,
Karlo - unCLIP model by KakaoBrain,https://huggingface.co/spaces/kakaobrain/karlo,Socially Conscious,RAIL License,"Image, Language",,
Non-Suspicious image decoder,https://huggingface.co/spaces/mithril-security/NonSuspiciousImageDecoder,"Consentful, Rigorous","Security, Steganography",Image,,
the AI art generator sources of inspiration,https://huggingface.co/spaces/MLearningAI/AIart_sources_of_inspiration,"Rigorous, Socially Conscious",Artist Acknowledgement,Image,,
Wikipedia Assistant,https://huggingface.co/spaces/deepset/wikipedia-assistant,Socially Conscious,"Fact Checking, Knowledge Retrieval, Tool",Language,,
BioGPT-Large Demo,https://huggingface.co/spaces/katielink/biogpt-large-demo,Socially Conscious,"Generative, Health, Text Generation",Language,,
